"Autor(s)","Licence","Car Name","Car Category","Folder"
"(C) Neubi: Original HiPoly-Model Copyright (model taken from www.blendswap.com)
(C) 2007 Andrew Sumner: driver model
(C) W-E-C: Scratch-rebuild in lowpoly, adaption to SD","CC-0","Bavaria NB3 LS","LS-GT2","ls2-bavaria-nb"
"(C) 2007 Eric Espié
(C) Berhard Wymann (berniw@bluewin.ch)","GPL v2+","Neutron RB1","TRB1","carf11a-trb1"
"(C) 2000-2008 Eric Espie
(C) Bernhard Wymann (torcs@free.fr)","CC 3.0 Unported","Espan Leo Cuppo","Preview","espan_leo_cup"
"(C) 2006 Bernhard Wymann (berniw@bluewin.ch)","GPL v2+","Walrus RB1","TRB1","carf10-trb1"
"(C) 2007 Eric Espié
(C) Berhard Wymann (berniw@bluewin.ch)","GPL v2+","Silber RBLK TC-Edition","TRB1","car5a-trb1"
"(C) 2012 C Phillips (prime4sd@gmail.com)","Free Art license","1957 Bel Aero","Nascar","nascar-deckard-57ba"
"(C) 2012 C Phillips (prime4sd@gmail.com)","Free Art license","1957 FMC Merc","Nascar","nascar-fmc-57Merc"
"(C) 2000 ViPeR (viper@mttestdriver.com): 3dmodel
(C) 2002 Jean-Christophe Durieu: texture","Free Art license","Acura-nsx-sz","Supercars","acura-nsx-sz"
"(C) 2009 W-E-C (Raph_S@gmx.at)
(C) 2011 Haruna Say (atomixsearch@gmail.com)","GPL v2+","MP1 Pears Aichi","MP1","mp1-pears-aichi"
"(C) 2012 Bernhard Wymann (berniw@bluewin.ch)","GPL v2+","Stockcar FMC 05","stock1","stock1-fmc05"
"(C) 2008 Jean-Philippe MEURET (jpmeuret@free.fr)","GPL v2+","Supervulture S12","LS-GT1","ls1-supervulture"
"(C) 2004 SpeedyChonChon (speedy.chonchon@free.fr)","GPL v2+","Tinder SD Opentop","tb70","tb70-tinder-sf1"
"(C) 2004 SpeedyChonChon","GPL v2+","Tinder SD Closetop","tb70","tb70-tinder-sf1-bt"
"(C) 2001 Eric Espié (Eric.Espie@torcs.org)
(C) 2006 Bernhard Wymann
(C) 2007 Wolf-Dieter Beelitz","GPL v2+","Sector Zero LS","LS-GT1","ls1-sector-zero-ls"
